	F1norm_rprr	alpha	datasetname	knownmodules	method	precision	recall	recovery	relevance	runningtime
0	5.982530864597538	0.05	ecoli_colombos	strict	sota	0.13180865033290315	0.16011754421493732	0.5813880673200744	0.2750447351810027	2942.4939398765564
1	3.6774797383475866	0.05	ecoli_colombos	minimal	sota	0.02783025425521909	0.07715265817850239	0.3170261945250067	0.17378864176566394	2942.4939398765564
2	4.449661445199682	0.05	ecoli_colombos	interconnected	sota	0.04772586927452945	0.07932317804226544	0.34463830796846134	0.20030457483603215	2942.4939398765564
3	5.951403712967356	0.1	ecoli_colombos	strict	sota	0.13433795630090448	0.1572370761077837	0.5021449533705324	0.29371982733805635	1574.4407031536102
4	3.8421746912738994	0.1	ecoli_colombos	minimal	sota	0.03118474836294005	0.07963488253999712	0.27798925843979416	0.19078073771043896	1574.4407031536102
5	4.537925018695621	0.1	ecoli_colombos	interconnected	sota	0.0527785388718344	0.08198897787245005	0.30844368456613114	0.21377967575142498	1574.4407031536102
6	3.281379183179536	0.2	ecoli_colombos	strict	sota	0.07535330634842434	0.0545961073211448	0.3025313058024481	0.17621857148615996	630.9869799613953
7	3.0067673959829775	0.2	ecoli_colombos	minimal	sota	0.029483378805876894	0.049010607929677416	0.2054387271950083	0.14676773982154234	630.9869799613953
8	3.413374256499597	0.2	ecoli_colombos	interconnected	sota	0.04228352362089657	0.044615829918571825	0.23056806635403265	0.1748622492885447	630.9869799613953
9	2.469617495380388	0.3	ecoli_colombos	strict	sota	0.06263376751681056	0.03520977079872083	0.21211973580240565	0.144460759418864	364.5860860347748
10	2.4521744467476925	0.3	ecoli_colombos	minimal	sota	0.028417678988508402	0.038108209620601796	0.16131202156628915	0.11279694779570623	364.5860860347748
11	2.6251849369927465	0.3	ecoli_colombos	interconnected	sota	0.04169666377319437	0.029965329003497184	0.16362583285937307	0.1384716781466156	364.5860860347748
12	2.0985996320186344	0.4	ecoli_colombos	strict	sota	0.05823255774596453	0.027156456288558315	0.18821054121659603	0.12253452917081001	267.9887478351593
13	2.2965715776996474	0.4	ecoli_colombos	minimal	sota	0.028782216116196552	0.03424160625027777	0.14548906298568925	0.10584531998737469	267.9887478351593
14	2.275127415506331	0.4	ecoli_colombos	interconnected	sota	0.0394761001298159	0.024290798382881933	0.14744382407757056	0.11669112353397793	267.9887478351593
15	1.2046542878876114	0.5	ecoli_colombos	strict	sota	0.03916020601214062	0.01051557466156234	0.15041526401105937	0.07377513237663984	198.36751914024353
16	1.8576656470914952	0.5	ecoli_colombos	minimal	sota	0.036014481003231444	0.022194578487844337	0.15610379032616858	0.0682189113444024	198.36751914024353
17	1.612491378715488	0.5	ecoli_colombos	interconnected	sota	0.0374040793769385	0.012688367919928521	0.13965486128922197	0.07514495578020838	198.36751914024353
18	0.9241596619116812	0.6	ecoli_colombos	strict	sota	0.035111367959731736	0.007348802696398456	0.12363326243650609	0.05764855916623961	178.38809299468994
19	1.5268253827894116	0.6	ecoli_colombos	minimal	sota	0.03354716591777389	0.01970891336241467	0.13981104437845948	0.05094086077638117	178.38809299468994
20	1.3331697583443474	0.6	ecoli_colombos	interconnected	sota	0.034029095960737984	0.010305780572098048	0.13218212772869875	0.057749092992140386	178.38809299468994
21	0.4305100574568921	0.7	ecoli_colombos	strict	sota	0.02569895466327143	0.00273627480097068	0.0772608125819135	0.028277238460533007	77.74092411994934
22	1.0831753425728952	0.7	ecoli_colombos	minimal	sota	0.037410970858061776	0.013535781548385566	0.1440430359624701	0.030621039841925195	77.74092411994934
23	0.6903286975854827	0.7	ecoli_colombos	interconnected	sota	0.028977405649294168	0.0038171670065485675	0.08580070525291829	0.032176325479356935	77.74092411994934
24	0.4305100574568921	0.8	ecoli_colombos	strict	sota	0.02569895466327143	0.00273627480097068	0.0772608125819135	0.028277238460533007	63.84816789627075
25	1.0831753425728952	0.8	ecoli_colombos	minimal	sota	0.037410970858061776	0.013535781548385566	0.1440430359624701	0.030621039841925195	63.84816789627075
26	0.6903286975854827	0.8	ecoli_colombos	interconnected	sota	0.028977405649294168	0.0038171670065485675	0.08580070525291829	0.032176325479356935	63.84816789627075
27	0.4305100574568921	0.9	ecoli_colombos	strict	sota	0.02569895466327143	0.00273627480097068	0.0772608125819135	0.028277238460533007	68.41614103317261
28	1.0831753425728952	0.9	ecoli_colombos	minimal	sota	0.037410970858061776	0.013535781548385566	0.1440430359624701	0.030621039841925195	68.41614103317261
29	0.6903286975854827	0.9	ecoli_colombos	interconnected	sota	0.028977405649294168	0.0038171670065485675	0.08580070525291829	0.032176325479356935	68.41614103317261
30	6.288221770992684	0.05	ecoli_dream5	strict	sota	0.11594488314297571	0.13720512554197734	0.594371450989098	0.3005979496175574	934.7979791164398
31	3.607157496718264	0.05	ecoli_dream5	minimal	sota	0.023069786131676963	0.07017382675067127	0.2978630934252089	0.19034918313896168	934.7979791164398
32	3.6796494176326986	0.05	ecoli_dream5	interconnected	sota	0.030903031173124623	0.05516142069636435	0.29327574047038746	0.16902890743769822	934.7979791164398
33	6.288221770992684	0.1	ecoli_dream5	strict	sota	0.11594488314297571	0.13720512554197734	0.594371450989098	0.3005979496175574	861.0662930011749
34	3.607157496718264	0.1	ecoli_dream5	minimal	sota	0.023069786131676963	0.07017382675067127	0.2978630934252089	0.19034918313896168	861.0662930011749
35	3.6796494176326986	0.1	ecoli_dream5	interconnected	sota	0.030903031173124623	0.05516142069636435	0.29327574047038746	0.16902890743769822	861.0662930011749
