	F1norm_rprr	datasetname	k	knn	knownmodules	method	precision	recall	recovery	relevance	runningtime
0	4.922398307128685	ecoli_colombos	25.0	10	strict	spectral_knn	0.1618102241196272	0.12686518809675393	0.4038172417100818	0.22877358365751996	59.136488914489746
1	4.42648631127649	ecoli_colombos	25.0	10	interconnected	spectral_knn	0.09255362162602986	0.08367492623636962	0.28815057878701644	0.1792076622485836	59.136488914489746
2	4.100482880965295	ecoli_colombos	25.0	10	minimal	spectral_knn	0.062308030049875	0.08532731381463686	0.280690882491676	0.14854530288549148	59.136488914489746
3	4.2607579683967	ecoli_colombos	25.0	20	strict	spectral_knn	0.1345443279479514	0.09885480533289558	0.3275784608759851	0.21287155566811192	83.0119059085846
4	4.27778706797424	ecoli_colombos	25.0	20	interconnected	spectral_knn	0.08533483546232357	0.07267496150851423	0.26230297256431145	0.18667920950117517	83.0119059085846
5	3.8260776368597877	ecoli_colombos	25.0	20	minimal	spectral_knn	0.05550852395403045	0.07710518419186714	0.24632876974873094	0.14709732714939402	83.0119059085846
6	4.00623705500093	ecoli_colombos	25.0	30	strict	spectral_knn	0.12377756126912652	0.09327500910319933	0.30877010419865486	0.20051055099948645	81.2090368270874
7	4.157850965772271	ecoli_colombos	25.0	30	interconnected	spectral_knn	0.081352811676228	0.07454372503089574	0.24803330047749572	0.18336997774775132	81.2090368270874
8	3.61109529937329	ecoli_colombos	25.0	30	minimal	spectral_knn	0.0536232750497448	0.07728984415386089	0.2186939924110207	0.1406413951879793	81.2090368270874
9	3.661009300968198	ecoli_colombos	25.0	50	strict	spectral_knn	0.11199606967976922	0.08129660096668523	0.27048381040484953	0.19143953485260168	83.95042705535889
10	3.870608268555267	ecoli_colombos	25.0	50	interconnected	spectral_knn	0.07095896904524895	0.0634959279535896	0.22841044679877773	0.17905315464645855	83.95042705535889
11	3.447632661359397	ecoli_colombos	25.0	50	minimal	spectral_knn	0.04604433446992307	0.07168534512200031	0.2117436692919856	0.13998245553814742	83.95042705535889
12	3.4669850015894537	ecoli_colombos	25.0	70	strict	spectral_knn	0.11401424704878353	0.08293056590226683	0.2465759188542328	0.17986068521268522	92.61772608757019
13	3.745407887027257	ecoli_colombos	25.0	70	interconnected	spectral_knn	0.07281676608893882	0.06731195370722083	0.216964478518884	0.1690465280587185	92.61772608757019
14	3.276331508208542	ecoli_colombos	25.0	70	minimal	spectral_knn	0.042977841159882055	0.07090035589693812	0.19931857786081822	0.1334570463649279	92.61772608757019
15	3.422621543125959	ecoli_colombos	25.0	100	strict	spectral_knn	0.11129087447403338	0.07810781465603164	0.24268199817933764	0.18068326370066984	92.80487704277039
16	3.714518621950133	ecoli_colombos	25.0	100	interconnected	spectral_knn	0.07291680905210617	0.06761062188812504	0.21532677906437048	0.16664695685699513	92.80487704277039
17	3.2445100065968764	ecoli_colombos	25.0	100	minimal	spectral_knn	0.042611542599483104	0.07179842137100827	0.19942811504392607	0.13041843921069593	92.80487704277039
18	7.097774817657456	ecoli_colombos	50.0	10	strict	spectral_knn	0.23070296278730376	0.21135905867471927	0.47806938929222464	0.36477455199919423	81.80862307548523
19	5.5165236927357615	ecoli_colombos	50.0	10	interconnected	spectral_knn	0.10792969539774622	0.1213791700965653	0.2975631501260474	0.25133406075212356	81.80862307548523
20	5.488944410473912	ecoli_colombos	50.0	10	minimal	spectral_knn	0.0606284398928679	0.12917965834734815	0.31039319572760954	0.2518962435690405	81.80862307548523
21	5.941263903372188	ecoli_colombos	50.0	20	strict	spectral_knn	0.1759304959542066	0.1591352439274197	0.3801763392930102	0.332946754402183	83.50765013694763
22	4.947185800303811	ecoli_colombos	50.0	20	interconnected	spectral_knn	0.08569609169806232	0.10005425877354596	0.2442414992207733	0.25824981579608774	83.50765013694763
23	4.489843940961495	ecoli_colombos	50.0	20	minimal	spectral_knn	0.05133660434563898	0.10208032515881194	0.23981755347944086	0.21400057505108283	83.50765013694763
24	5.772221822874476	ecoli_colombos	50.0	30	strict	spectral_knn	0.18196347468838195	0.16397003266224333	0.34845068842584304	0.3313375906033608	85.440908908844
25	5.088272453706347	ecoli_colombos	50.0	30	interconnected	spectral_knn	0.08951989522983057	0.10527423926372764	0.25244711196698844	0.26148391676708777	85.440908908844
26	4.368689144819339	ecoli_colombos	50.0	30	minimal	spectral_knn	0.050816702102668636	0.10356428895637039	0.2322925111492095	0.20445502403633806	85.440908908844
27	5.371648437792174	ecoli_colombos	50.0	50	strict	spectral_knn	0.1660206764600567	0.146700857467414	0.3388380405597366	0.30040118034722724	108.15194320678711
28	4.8672370252305335	ecoli_colombos	50.0	50	interconnected	spectral_knn	0.0895514182842359	0.09981783008591837	0.23480988672424308	0.2548786541250925	108.15194320678711
29	4.508450449912711	ecoli_colombos	50.0	50	minimal	spectral_knn	0.05354758138329785	0.10718047626638864	0.22850006932718553	0.21762532056367764	108.15194320678711
30	5.377295706400437	ecoli_colombos	50.0	70	strict	spectral_knn	0.18516182511872056	0.16069011241201814	0.3230255223709686	0.30067785278164494	98.47816896438599
31	4.96781661728126	ecoli_colombos	50.0	70	interconnected	spectral_knn	0.09898708926968494	0.11483902629433576	0.23185993499115978	0.25632507046287517	98.47816896438599
32	4.38147693463723	ecoli_colombos	50.0	70	minimal	spectral_knn	0.052429812032391755	0.10701191007350729	0.21707422657145817	0.2135814047872592	98.47816896438599
33	5.156898763410179	ecoli_colombos	50.0	100	strict	spectral_knn	0.17334254817627934	0.14490212936065186	0.31526225320114454	0.289318417503491	99.48038506507874
34	4.791992115741324	ecoli_colombos	50.0	100	interconnected	spectral_knn	0.09569717280227667	0.10555424544203243	0.22325852394902232	0.25040261572094885	99.48038506507874
35	4.01268866627301	ecoli_colombos	50.0	100	minimal	spectral_knn	0.04779292778674626	0.09308091527403085	0.19851787210956356	0.19945345813531257	99.48038506507874
36	7.8327544030891385	ecoli_colombos	75.0	10	strict	spectral_knn	0.2349228892963776	0.23288802926855226	0.5041191328705155	0.4246941735582085	70.86630702018738
37	6.090642587958065	ecoli_colombos	75.0	10	interconnected	spectral_knn	0.1063719371228894	0.13096797354215245	0.30796408151715504	0.30482524989985527	70.86630702018738
38	6.076981740603352	ecoli_colombos	75.0	10	minimal	spectral_knn	0.0662558043807448	0.14583330451502444	0.3227639121123752	0.295054928146471	70.86630702018738
39	7.106827605007183	ecoli_colombos	75.0	20	strict	spectral_knn	0.21358183182906573	0.20888855741245516	0.4407495538763844	0.39889185749489964	92.64415907859802
40	5.905840900822698	ecoli_colombos	75.0	20	interconnected	spectral_knn	0.10147171461868708	0.13302091027410054	0.2786295735914769	0.3161374862150441	92.64415907859802
41	5.5167126689613095	ecoli_colombos	75.0	20	minimal	spectral_knn	0.061666278431441346	0.13308193476903146	0.2747413560748396	0.2800170028677101	92.64415907859802
42	6.697847208986294	ecoli_colombos	75.0	30	strict	spectral_knn	0.20487748527981953	0.1984488340955268	0.40836201867573546	0.37960936054751315	115.2077739238739
43	5.710314212342425	ecoli_colombos	75.0	30	interconnected	spectral_knn	0.09890448263875247	0.12597758851390012	0.27291428249713756	0.30203017652158726	115.2077739238739
44	4.9395203464466695	ecoli_colombos	75.0	30	minimal	spectral_knn	0.05332981161306816	0.12053050101894097	0.2512983905117513	0.2502402785059998	115.2077739238739
45	6.480463351114823	ecoli_colombos	75.0	50	strict	spectral_knn	0.20057114305653462	0.19147017128463706	0.3875049397827913	0.37335465842846044	94.24505090713501
46	5.7670498122880876	ecoli_colombos	75.0	50	interconnected	spectral_knn	0.10442267005385782	0.13444114183367847	0.2669080424606202	0.30798450029331803	94.24505090713501
47	4.913929038092559	ecoli_colombos	75.0	50	minimal	spectral_knn	0.0538461948440398	0.12265851658429111	0.24261889918989077	0.2523877891288839	94.24505090713501
48	6.657836390258716	ecoli_colombos	75.0	70	strict	spectral_knn	0.21009525662759485	0.20087727402332858	0.39012153682043593	0.3875895739466744	99.9504861831665
49	5.350049049025617	ecoli_colombos	75.0	70	interconnected	spectral_knn	0.09306773821206082	0.12627423112376018	0.24608895683471518	0.29050718378390644	99.9504861831665
50	4.531633490991253	ecoli_colombos	75.0	70	minimal	spectral_knn	0.04840264493301529	0.11535006792187011	0.21815132839116877	0.24202340276666515	99.9504861831665
51	5.890343019713728	ecoli_colombos	75.0	100	strict	spectral_knn	0.18498702690282562	0.16565475284331582	0.34872557261970144	0.34574614046545205	56.294294118881226
52	5.104327771891517	ecoli_colombos	75.0	100	interconnected	spectral_knn	0.09135253246016348	0.11424762324505387	0.23131910748925846	0.28326424252302773	56.294294118881226
53	4.4870907689327435	ecoli_colombos	75.0	100	minimal	spectral_knn	0.04728827403047383	0.10865865067744417	0.2119927779274175	0.25121289812910347	56.294294118881226
54	8.72857462766075	ecoli_colombos	100.0	10	strict	spectral_knn	0.26378616019081413	0.2867378524600579	0.5109741970032617	0.5039065676955002	85.24276995658875
55	6.583096146171417	ecoli_colombos	100.0	10	interconnected	spectral_knn	0.11377080459517487	0.14961209446724855	0.3134963506561176	0.3473407081089291	85.24276995658875
56	6.676123650298846	ecoli_colombos	100.0	10	minimal	spectral_knn	0.07508560694797953	0.16791371360578852	0.3191506358540972	0.3479761154442759	85.24276995658875
