	F1norm_rprr	alpha	datasetname	delta	knownmodules	method	precision	recall	recovery	relevance	runningtime
56	0.009349603573439879	1.1	ecoli_colombos	0.005	minimal	chengchurch	2.4752870441658126e-05	0.000468892537858055	0.09126984126984126	0.0065230477658878875	235.21132397651672
57	0.02238458811218159	1.1	ecoli_colombos	0.01	strict	chengchurch	0.00010566346097926987	0.00021204410517387616	0.1111111111111111	0.007587205322937333	154.75735211372375
58	0.04143080313834435	1.1	ecoli_colombos	0.01	interconnected	chengchurch	0.00012770017892487802	0.00029814394893759973	0.07275132275132275	0.015586923909497832	154.75735211372375
59	0.049841117369259724	1.1	ecoli_colombos	0.01	minimal	chengchurch	0.00014445464777415872	0.0010362019844778467	0.10766178266178265	0.029060219380625085	154.75735211372375
60	0.0	1.1	ecoli_colombos	0.02	strict	chengchurch	0.0	0.0	0.0	0.0	68.35128378868103
61	0.024840215048135654	1.1	ecoli_colombos	0.02	interconnected	chengchurch	7.27773842853208e-05	0.00021164021164021165	0.09523809523809523	0.007209853638425067	68.35128378868103
62	0.011872125927090119	1.1	ecoli_colombos	0.02	minimal	chengchurch	3.548584902017638e-05	0.0002138091793264207	0.06876456876456877	0.004867559728884903	68.35128378868103
63	0.04456243065935294	1.1	ecoli_colombos	0.05	strict	chengchurch	0.0003155122979065489	0.00026505513146734525	0.08333333333333333	0.012352026602823344	27.660032987594604
64	0.04457265014345315	1.1	ecoli_colombos	0.05	interconnected	chengchurch	0.00015934838568986293	0.00025255862443651525	0.0851063829787234	0.012980661240813292	27.660032987594604
65	0.042350885724921745	1.1	ecoli_colombos	0.05	minimal	chengchurch	0.00013906239696148372	0.0005287989614008423	0.09090909090909091	0.014498029758494985	27.660032987594604
66	0.06526192438306565	1.1	ecoli_colombos	0.1	strict	chengchurch	0.0004608825966740353	0.00042026759584011487	0.10810810810810811	0.01285977599309295	19.242089986801147
67	0.04849839720462471	1.1	ecoli_colombos	0.1	interconnected	chengchurch	0.00018887308002474973	0.0002442002442002442	0.07692307692307693	0.014221024030838718	19.242089986801147
68	0.039332086085113425	1.1	ecoli_colombos	0.1	minimal	chengchurch	0.00014641101464511747	0.0003581929965249933	0.06666666666666667	0.010699580510767756	19.242089986801147
69	0.1614006496812064	1.1	ecoli_colombos	0.2	strict	chengchurch	0.007729201679655011	0.0007093171967186285	0.053497942386831275	0.018708312450099327	17.561361074447632
70	0.3029910778340754	1.1	ecoli_colombos	0.2	interconnected	chengchurch	0.007519265379201725	0.0010769705233086614	0.0695364238410596	0.022843880687561668	17.561361074447632
71	0.5957994796038759	1.1	ecoli_colombos	0.2	minimal	chengchurch	0.010033681161419904	0.004509025860221413	0.1244343891402715	0.02268674450855822	17.561361074447632
72	0.27723281462218496	1.1	ecoli_colombos	0.5	strict	chengchurch	0.02743866907522871	0.0015709161684291247	0.05725190839694656	0.019230769230769232	10.722562074661255
73	0.549880644505091	1.1	ecoli_colombos	0.5	interconnected	chengchurch	0.03655832703451752	0.0029594836170799897	0.08095238095238096	0.023809523809523808	10.722562074661255
74	0.9237213191982848	1.1	ecoli_colombos	0.5	minimal	chengchurch	0.0609560600500018	0.012645494401695939	0.1425287356321839	0.023451261382295863	10.722562074661255
75	0.27723281462218496	1.1	ecoli_colombos	1.0	strict	chengchurch	0.02743866907522871	0.0015709161684291247	0.05725190839694656	0.019230769230769232	14.059171915054321
76	0.549880644505091	1.1	ecoli_colombos	1.0	interconnected	chengchurch	0.03655832703451752	0.0029594836170799897	0.08095238095238096	0.023809523809523808	14.059171915054321
77	0.9237213191982848	1.1	ecoli_colombos	1.0	minimal	chengchurch	0.0609560600500018	0.012645494401695939	0.1425287356321839	0.023451261382295863	14.059171915054321
78	0.0	1.5	ecoli_colombos	0.0001	strict	chengchurch	0.0	0.0	0.0	0.0	1518.8104009628296
79	0.0	1.5	ecoli_colombos	0.0001	interconnected	chengchurch	0.0	0.0	0.0	0.0	1518.8104009628296
80	0.0	1.5	ecoli_colombos	0.0001	minimal	chengchurch	0.0	0.0	0.0	0.0	1518.8104009628296
81	0.0	1.5	ecoli_colombos	0.0002	strict	chengchurch	0.0	0.0	0.0	0.0	1805.3652110099792
82	0.0	1.5	ecoli_colombos	0.0002	interconnected	chengchurch	0.0	0.0	0.0	0.0	1805.3652110099792
83	0.0	1.5	ecoli_colombos	0.0002	minimal	chengchurch	0.0	0.0	0.0	0.0	1805.3652110099792
84	0.0	1.5	ecoli_colombos	0.0005	strict	chengchurch	0.0	0.0	0.0	0.0	1705.4803609848022
85	0.0	1.5	ecoli_colombos	0.0005	interconnected	chengchurch	0.0	0.0	0.0	0.0	1705.4803609848022
86	0.0	1.5	ecoli_colombos	0.0005	minimal	chengchurch	0.0	0.0	0.0	0.0	1705.4803609848022
87	0.1418345247822757	1.5	ecoli_colombos	0.001	strict	chengchurch	0.0011001286357707552	0.0015744274809160305	0.375	0.009525401069518716	1705.034453868866
88	0.0	1.5	ecoli_colombos	0.001	interconnected	chengchurch	0.0	0.0	0.0	0.0	1705.034453868866
