	F1norm_rprr	datasetname	homogeneity	knownmodules	method	precision	recall	recovery	relevance	runningtime
0	3.7204072294897252	ecoli_colombos	0.0	strict	click	0.11131287023154661	0.07719224192543803	0.3061550858688593	0.18576608103906508	152.11830186843872
1	3.2624045461736264	ecoli_colombos	0.0	minimal	click	0.03846350993730443	0.06474852983620771	0.22429935044564325	0.1325639932348564	152.11830186843872
2	3.9165782999316607	ecoli_colombos	0.0	interconnected	click	0.06831528374619722	0.06501004765966403	0.24045312169674188	0.1775117165676877	152.11830186843872
3	0.8115536707030354	ecoli_colombos	0.05	strict	click	0.03792481702452579	0.007156775662350919	0.16356441911997469	0.03925525669315432	254.99465012550354
4	1.4266418343223917	ecoli_colombos	0.05	minimal	click	0.05332621711628259	0.020435228550432137	0.1727625485210076	0.039174655482025374	254.99465012550354
5	1.1397544718777888	ecoli_colombos	0.05	interconnected	click	0.04148572282729686	0.007926870511815634	0.16128911549159144	0.04413216524868574	254.99465012550354
6	0.9669252849778394	ecoli_colombos	0.1	strict	click	0.04022459719550206	0.008685269456653884	0.1527310281517748	0.05027343538823021	253.57446694374084
7	1.598499319585256	ecoli_colombos	0.1	minimal	click	0.03919034900828876	0.023331766533381284	0.18428930022881732	0.0467697883210022	253.57446694374084
8	1.1882786554208178	ecoli_colombos	0.1	interconnected	click	0.034349441957735406	0.00797754088261012	0.14012739711269123	0.051294216590877705	253.57446694374084
9	1.588080053661366	ecoli_colombos	0.15000000000000002	strict	click	0.053744187963663724	0.018657257972536964	0.18111346160482095	0.08209926007073182	262.66736483573914
10	2.4570380704639962	ecoli_colombos	0.15000000000000002	minimal	click	0.04447972614290056	0.04294245302157454	0.21688032535133453	0.07906060250228948	262.66736483573914
11	2.2629101310270725	ecoli_colombos	0.15000000000000002	interconnected	click	0.0530114065802493	0.026367721875907135	0.20389582936112693	0.08657285818688668	262.66736483573914
12	2.452824438573668	ecoli_colombos	0.2	strict	click	0.08266487787277248	0.04452612145865001	0.21606623936270578	0.11999499726621674	246.7246561050415
13	2.920400237688993	ecoli_colombos	0.2	minimal	click	0.04860497714506602	0.06131648373439909	0.2103544475746499	0.09997936030632419	246.7246561050415
14	3.1180377787959292	ecoli_colombos	0.2	interconnected	click	0.06878877058174165	0.046099423539952424	0.21265534729939256	0.12907761063215653	246.7246561050415
15	3.0658905550766224	ecoli_colombos	0.25	strict	click	0.09874708324253152	0.06088897986338064	0.25896551487425523	0.1505276431309837	210.55676293373108
16	3.321794931401871	ecoli_colombos	0.25	minimal	click	0.046388139479146655	0.06866425675569604	0.23820239976478172	0.1212800107225873	210.55676293373108
17	3.6450561621834288	ecoli_colombos	0.25	interconnected	click	0.07213448649040276	0.057866685056116564	0.2362429162196699	0.1562145554719076	210.55676293373108
18	2.913178370775475	ecoli_colombos	0.30000000000000004	strict	click	0.0843328025535422	0.058335079258726726	0.28720359656606104	0.1343419949159514	173.75892090797424
19	2.558379329636465	ecoli_colombos	0.30000000000000004	minimal	click	0.03125172978205869	0.04865330859623353	0.2130482879938006	0.09388533503187112	173.75892090797424
20	3.003331804067801	ecoli_colombos	0.30000000000000004	interconnected	click	0.05031505428142105	0.04473756268275769	0.21804240410096448	0.12706078389676134	173.75892090797424
21	2.932745430744006	ecoli_colombos	0.35000000000000003	strict	click	0.08053446614491211	0.058379240723775594	0.3011159902951994	0.13439681065286269	110.83637714385986
22	2.657337187506461	ecoli_colombos	0.35000000000000003	minimal	click	0.02953961902079799	0.05237861355627686	0.26071388088450076	0.09433633803215652	110.83637714385986
23	3.1355595386144213	ecoli_colombos	0.35000000000000003	interconnected	click	0.050109621910710306	0.0501373986983626	0.2622803592079698	0.12234864069726684	110.83637714385986
24	3.284474538317369	ecoli_colombos	0.4	strict	click	0.0841255200755562	0.0658181076748185	0.32185736141392324	0.15585584901324395	156.3442919254303
25	2.7197857640629253	ecoli_colombos	0.4	minimal	click	0.025477907075420414	0.05480361774708721	0.2658610737464808	0.1050758964027226	156.3442919254303
26	3.0836496718165103	ecoli_colombos	0.4	interconnected	click	0.041093699040169296	0.04681015203022462	0.24706456529001813	0.13122992391483818	156.3442919254303
27	2.911306516136906	ecoli_colombos	0.45	strict	click	0.07441772750117391	0.053126757574963164	0.32335583261815587	0.13438984408996002	149.70918083190918
28	2.2748395218179693	ecoli_colombos	0.45	minimal	click	0.019666657412964576	0.047201621355767914	0.2555113844081404	0.08703615303563152	149.70918083190918
29	2.5509148484743007	ecoli_colombos	0.45	interconnected	click	0.033342640595724754	0.037198951619125814	0.2332912303303656	0.10360982283215654	149.70918083190918
30	2.9646877060926706	ecoli_colombos	0.5	strict	click	0.07284014344821371	0.0600182991195079	0.35539392448671764	0.13005467189462272	143.35898089408875
31	2.324034146925133	ecoli_colombos	0.5	minimal	click	0.02195968143813203	0.0482855739060097	0.2588222956339432	0.0845741682113844	143.35898089408875
32	2.90176123470198	ecoli_colombos	0.5	interconnected	click	0.03827670939610246	0.043767766771456426	0.2812993883237112	0.1136140860724364	143.35898089408875
33	2.3511070635019635	ecoli_colombos	0.55	strict	click	0.05875888800408656	0.05149356360560017	0.38528319261447036	0.09190550469077599	118.2436900138855
34	1.8747073262709069	ecoli_colombos	0.55	minimal	click	0.017678727978936958	0.03778288004185131	0.26174422648988704	0.0645350656937459	118.2436900138855
35	2.2888768649495868	ecoli_colombos	0.55	interconnected	click	0.028036410979590927	0.031450878487004376	0.274546487248731	0.08713605406665348	118.2436900138855
