	F1norm_rprr	datasetname	k	knownmodules	method	precision	recall	recovery	relevance	runningtime
0	3.804638426125266	ecoli_colombos	25.0	strict	hybrid	0.11107724981051258	0.07604471714603399	0.279540049106765	0.20858587934705256	563.026939868927
1	3.0625368525362413	ecoli_colombos	25.0	minimal	hybrid	0.03153761943211164	0.05652104097491548	0.19484657629228178	0.14491517911570312	563.026939868927
2	3.4898368443378867	ecoli_colombos	25.0	interconnected	hybrid	0.06078534389517006	0.054129934648032556	0.21044068469409594	0.16360003467320294	563.026939868927
3	4.62437291877901	ecoli_colombos	50.0	strict	hybrid	0.13590286558199177	0.10715359195999584	0.2920987034204292	0.27376120328944736	570.473865032196
4	3.6108743853924916	ecoli_colombos	50.0	minimal	hybrid	0.03517981362721671	0.07737046959419085	0.19407132070938754	0.19480726969854342	570.473865032196
5	3.9599209969098808	ecoli_colombos	50.0	interconnected	hybrid	0.06685271803332957	0.07084968569749583	0.20086535072470887	0.20963299613356035	570.473865032196
6	6.051089598582818	ecoli_colombos	75.0	strict	hybrid	0.1694463691081061	0.1534984672534377	0.38116950704726954	0.35384271499131076	563.2365469932556
7	4.480349978104632	ecoli_colombos	75.0	minimal	hybrid	0.04404768322464822	0.1065177424398488	0.22866173638625198	0.2442508502829582	563.2365469932556
8	5.112465205951325	ecoli_colombos	75.0	interconnected	hybrid	0.08507592528132724	0.10260117893638779	0.24428457418791535	0.28082325107618944	563.2365469932556
9	6.569996843482465	ecoli_colombos	100.0	strict	hybrid	0.17922441197131586	0.18506330705729065	0.398782811921047	0.3895238147897435	559.2797272205353
10	4.860642424075929	ecoli_colombos	100.0	minimal	hybrid	0.050154103787833935	0.1210170114458996	0.23882020726382328	0.26208850615396473	559.2797272205353
11	5.393610123553355	ecoli_colombos	100.0	interconnected	hybrid	0.0847873729652629	0.11622511374363713	0.24972511058417754	0.30774777641774814	559.2797272205353
12	7.046477781354487	ecoli_colombos	125.0	strict	hybrid	0.19264457010311536	0.20681496378908765	0.44452450071124516	0.3986357877268257	565.5688037872314
13	4.985008668794058	ecoli_colombos	125.0	minimal	hybrid	0.05054985412879933	0.12892004503150006	0.23977109932133814	0.27572389880703024	565.5688037872314
14	5.513913443074408	ecoli_colombos	125.0	interconnected	hybrid	0.08932009745819486	0.12643074255827266	0.25078897382447285	0.31305766811112407	565.5688037872314
15	7.5484592662202745	ecoli_colombos	150.0	strict	hybrid	0.20680809102267858	0.23403882062066664	0.47266189710800416	0.4242728114099845	564.0806379318237
16	5.074035267631581	ecoli_colombos	150.0	minimal	hybrid	0.044302377598307054	0.13812761487064576	0.26209421456116927	0.28985371491715906	564.0806379318237
17	5.6314290444508295	ecoli_colombos	150.0	interconnected	hybrid	0.08654033415903116	0.13098686319096142	0.2697622832964233	0.3052824980834188	564.0806379318237
18	7.81279039559022	ecoli_colombos	175.0	strict	hybrid	0.21301068745559626	0.24357119847852077	0.4851131778207014	0.44249238807747315	571.81036901474
19	5.258791527492216	ecoli_colombos	175.0	minimal	hybrid	0.0459826144255456	0.14177644522272684	0.26675385155464415	0.30709604136928215	571.81036901474
20	5.638660166712103	ecoli_colombos	175.0	interconnected	hybrid	0.08269185427737717	0.12847827600188796	0.27049900945681055	0.3120554153317585	571.81036901474
21	7.707435469034118	ecoli_colombos	200.0	strict	hybrid	0.201399597708246	0.2352733768846652	0.5008553906804314	0.4259860979869242	565.9625542163849
22	5.200188339685416	ecoli_colombos	200.0	minimal	hybrid	0.0462514933259804	0.1386014138455423	0.2662622878546887	0.29676064950388936	565.9625542163849
23	5.638398294723705	ecoli_colombos	200.0	interconnected	hybrid	0.08022641929188218	0.126097134347453	0.27306084634606176	0.31377742140197845	565.9625542163849
24	7.599349790787682	ecoli_colombos	225.0	strict	hybrid	0.19152375704996513	0.2284847320938739	0.5078592292880412	0.41564302889309795	557.0815799236298
25	4.937025438331719	ecoli_colombos	225.0	minimal	hybrid	0.03963459780406233	0.1361459602298337	0.2648059455129601	0.2929918883976911	557.0815799236298
26	5.579421044036395	ecoli_colombos	225.0	interconnected	hybrid	0.07204799098816318	0.12076771331287878	0.2902049852933138	0.3013683660895952	557.0815799236298
27	8.491246849397898	ecoli_colombos	250.0	strict	hybrid	0.21524881910122576	0.2567907617109752	0.5664853749536766	0.46376041747701796	582.3231508731842
28	5.462069056852497	ecoli_colombos	250.0	minimal	hybrid	0.04429467040943705	0.14923867328010165	0.29793674080288085	0.31587676738812526	582.3231508731842
29	5.656868709270044	ecoli_colombos	250.0	interconnected	hybrid	0.0706098733794951	0.1211797415516577	0.3036524655138917	0.3010727076291123	582.3231508731842
30	8.221676362008147	ecoli_colombos	275.0	strict	hybrid	0.20704724560748808	0.2492403313829143	0.5527533194027194	0.44676553886176174	566.9214069843292
31	5.293864839712692	ecoli_colombos	275.0	minimal	hybrid	0.041035996370828325	0.1476103148894354	0.28744666578655437	0.3208803653237468	566.9214069843292
32	5.699504632324826	ecoli_colombos	275.0	interconnected	hybrid	0.07475765779479347	0.12656660408152812	0.29553003898741614	0.30488003695527816	566.9214069843292
33	8.358790567514623	ecoli_colombos	300.0	strict	hybrid	0.21189268638026948	0.25788573796693137	0.568552684992001	0.44752620155383666	583.6601099967957
34	5.296399792469771	ecoli_colombos	300.0	minimal	hybrid	0.0415459178573623	0.1389994825260594	0.30057581834079694	0.30812288194350246	583.6601099967957
35	5.6109616673210025	ecoli_colombos	300.0	interconnected	hybrid	0.070202132961559	0.12199416039461779	0.3115945744083174	0.2877465664496182	583.6601099967957
