	F1norm_rprr	datasetname	k	knownmodules	method	precision	recall	recovery	relevance	runningtime	stdcutoff
0	0.048856360538835665	ecoli_colombos	50.0	strict	ica_zscore	0.052796367491943594	0.00014999399899660927	0.06298926440768982	0.03948033918933758	104.14280605316162	0.5
1	0.37200060937639345	ecoli_colombos	50.0	minimal	ica_zscore	0.08736682658625397	0.0011737940293362066	0.12891387210666783	0.03900604684037044	104.14280605316162	0.5
2	0.1138867786472323	ecoli_colombos	50.0	interconnected	ica_zscore	0.06240313554500502	0.00025129786228452524	0.07864968461645123	0.04338645868197427	104.14280605316162	0.5
3	0.46430998084145575	ecoli_colombos	50.0	strict	ica_zscore	0.09424810244571287	0.001885580430510102	0.08643260363235888	0.07825941603113562	103.91935706138611	1.0
4	1.2129180823765395	ecoli_colombos	50.0	minimal	ica_zscore	0.1102995615566199	0.006358137355515243	0.11247548120819442	0.06454043430797735	103.91935706138611	1.0
5	0.7165460346454116	ecoli_colombos	50.0	interconnected	ica_zscore	0.09851456883240224	0.0022154728019107644	0.0952311907590023	0.07807415878349896	103.91935706138611	1.0
6	1.5954103059443225	ecoli_colombos	50.0	strict	ica_zscore	0.117546542928021	0.012075284525161387	0.1311363795723022	0.13160124139238635	102.4389579296112	1.5
7	2.137559890073415	ecoli_colombos	50.0	minimal	ica_zscore	0.08331009291371513	0.019424320790730705	0.12223179623930118	0.09902794092452473	102.4389579296112	1.5
8	1.8838335091957081	ecoli_colombos	50.0	interconnected	ica_zscore	0.09641755891626842	0.011490904782688832	0.1199725562456359	0.11805936185482013	102.4389579296112	1.5
9	2.9586347884272692	ecoli_colombos	50.0	strict	ica_zscore	0.13617135631053054	0.04177228566595592	0.19174162671593137	0.19211245334342192	103.90435409545898	2.0
10	3.0139112821213345	ecoli_colombos	50.0	minimal	ica_zscore	0.058826552402555174	0.048234060029649556	0.1540481993991942	0.13292523457426603	103.90435409545898	2.0
11	3.029041525938579	ecoli_colombos	50.0	interconnected	ica_zscore	0.08583315917693818	0.03823984363190874	0.15281731521453204	0.16072828680976084	103.90435409545898	2.0
12	3.9623865413662687	ecoli_colombos	50.0	strict	ica_zscore	0.13850215384472545	0.07234924952062229	0.2550490468351284	0.24123658491479094	103.6867949962616	2.5
13	3.436343012607113	ecoli_colombos	50.0	minimal	ica_zscore	0.04718601136771734	0.06995141412525141	0.17698197791107448	0.15875234759591478	103.6867949962616	2.5
14	3.5784773615355236	ecoli_colombos	50.0	interconnected	ica_zscore	0.0726688556277301	0.05825984962916527	0.17665674945591214	0.1903396443464503	103.6867949962616	2.5
15	5.013403557744608	ecoli_colombos	50.0	strict	ica_zscore	0.14555330709397232	0.10903370158555603	0.34088193882733203	0.28456147999421194	104.25083780288696	3.0
16	3.7509337765420057	ecoli_colombos	50.0	minimal	ica_zscore	0.040238370928804425	0.08199241400245452	0.19942122930086068	0.18929559788294906	104.25083780288696	3.0
17	4.195443496949239	ecoli_colombos	50.0	interconnected	ica_zscore	0.06783674223150939	0.0762962731179163	0.2123901031660821	0.2246304704908675	104.25083780288696	3.0
18	4.589816685817492	ecoli_colombos	50.0	strict	ica_zscore	0.10634621622041299	0.10049614426151753	0.3994557619739779	0.23178902417067346	101.7728168964386	3.5
19	3.4659943673867177	ecoli_colombos	50.0	minimal	ica_zscore	0.02832571526651562	0.07842747534343028	0.2404236170273833	0.17117568073959546	101.7728168964386	3.5
