	F1norm_rprr	datasetname	k	knownmodules	method	perccutoff	precision	recall	recovery	relevance	runningtime
0	0.9726265261609806	ecoli_colombos	50.0	strict	ica_percentage	0.1	0.12130089987407357	0.004771293283097371	0.11599325599671101	0.12537920113662365	105.91774082183838
1	1.7825034237046968	ecoli_colombos	50.0	minimal	ica_percentage	0.1	0.10637941554499858	0.012028117104146514	0.1081417307959515	0.09693606521101854	105.91774082183838
2	1.3213936295569257	ecoli_colombos	50.0	interconnected	ica_percentage	0.1	0.11087864367826542	0.005213301977953982	0.11020564944389932	0.11643833104150923	105.91774082183838
3	2.3302543463401677	ecoli_colombos	50.0	strict	ica_percentage	0.05	0.15044787571831159	0.01997231479255841	0.163647613305843	0.19891679336909027	96.13356900215149
4	2.681182151458829	ecoli_colombos	50.0	minimal	ica_percentage	0.05	0.07922270465155323	0.029439954824938067	0.12750335562860868	0.13678771811769713	96.13356900215149
5	2.5660506588207617	ecoli_colombos	50.0	interconnected	ica_percentage	0.05	0.10862630705569751	0.018901594972814247	0.1334899221878273	0.17237683564697945	96.13356900215149
6	4.109453805977684	ecoli_colombos	50.0	strict	ica_percentage	0.02	0.15995993790864071	0.08016370759753119	0.22157592745385069	0.28932236197751066	108.28179502487183
7	3.3911100471071025	ecoli_colombos	50.0	minimal	ica_percentage	0.02	0.048489023583577984	0.058767466247771204	0.1513390652189827	0.19005681255557347	108.28179502487183
8	3.8196979240355664	ecoli_colombos	50.0	interconnected	ica_percentage	0.02	0.08757867385650221	0.058128569509178586	0.16145814156761507	0.24581869413967006	108.28179502487183
9	4.7073237039108085	ecoli_colombos	50.0	strict	ica_percentage	0.01	0.11359269149534398	0.10212991290080037	0.3088672598712984	0.2904137707632911	105.03367209434509
10	3.3676605483687094	ecoli_colombos	50.0	minimal	ica_percentage	0.01	0.03109382971326668	0.0698575394528729	0.16907780519992358	0.20796427661585629	105.03367209434509
11	3.803259459704098	ecoli_colombos	50.0	interconnected	ica_percentage	0.01	0.05425342412991737	0.06777228384799266	0.17716241756409495	0.23753092743948404	105.03367209434509
12	3.385043080305341	ecoli_colombos	50.0	strict	ica_percentage	0.005	0.05694513216008117	0.06721335725897101	0.3951307112181784	0.16804380057765197	88.2933259010315
13	2.3629513496572985	ecoli_colombos	50.0	minimal	ica_percentage	0.005	0.01536634445665827	0.04095479134586109	0.18877158759945015	0.1504577093606164	88.2933259010315
14	2.724982831065292	ecoli_colombos	50.0	interconnected	ica_percentage	0.005	0.02351763209824033	0.036317851560645986	0.22296011962320061	0.14585964835944823	88.2933259010315
15	0.0	ecoli_colombos	50.0	strict	ica_percentage	0.002	0.0	0.0	0.0	0.0	101.28165793418884
16	0.0	ecoli_colombos	50.0	minimal	ica_percentage	0.002	0.0	0.0	0.0	0.0	101.28165793418884
17	0.0	ecoli_colombos	50.0	interconnected	ica_percentage	0.002	0.0	0.0	0.0	0.0	101.28165793418884
18	0.0	ecoli_colombos	50.0	strict	ica_percentage	0.001	0.0	0.0	0.0	0.0	106.19429421424866
19	0.0	ecoli_colombos	50.0	minimal	ica_percentage	0.001	0.0	0.0	0.0	0.0	106.19429421424866
20	0.0	ecoli_colombos	50.0	interconnected	ica_percentage	0.001	0.0	0.0	0.0	0.0	106.19429421424866
21	0.0	ecoli_colombos	50.0	strict	ica_percentage	0.0005	0.0	0.0	0.0	0.0	98.56537795066833
22	0.0	ecoli_colombos	50.0	minimal	ica_percentage	0.0005	0.0	0.0	0.0	0.0	98.56537795066833
23	0.0	ecoli_colombos	50.0	interconnected	ica_percentage	0.0005	0.0	0.0	0.0	0.0	98.56537795066833
24	0.6174005152927214	ecoli_colombos	100.0	strict	ica_percentage	0.1	0.1447735709237071	0.002446546550087628	0.10428068625626462	0.13100791092478348	114.77147793769836
25	1.4567470938510116	ecoli_colombos	100.0	minimal	ica_percentage	0.1	0.13911816011880718	0.007526490461860388	0.0945424156021312	0.10516402063693597	114.77147793769836
26	0.9160400699341008	ecoli_colombos	100.0	interconnected	ica_percentage	0.1	0.13839702267280313	0.0028445229407195924	0.09559889542312033	0.12497976295894762	114.77147793769836
27	1.9861633439014739	ecoli_colombos	100.0	strict	ica_percentage	0.05	0.1771580047873802	0.01378409534499793	0.14375946250466812	0.2138150226421427	113.08015608787537
28	2.54776421150247	ecoli_colombos	100.0	minimal	ica_percentage	0.05	0.11426571871604714	0.022201171694792195	0.11120257405538869	0.15947053221889587	113.08015608787537
29	2.2780318373114268	ecoli_colombos	100.0	interconnected	ica_percentage	0.05	0.14882696442924634	0.013001126551380903	0.11877562977990117	0.1935915579576902	113.08015608787537
30	4.07694235163898	ecoli_colombos	100.0	strict	ica_percentage	0.02	0.20118873086369327	0.07442860087731935	0.19610505346637264	0.3343168613127234	115.66718196868896
31	3.769570027661845	ecoli_colombos	100.0	minimal	ica_percentage	0.02	0.08084340686651587	0.06114584852847116	0.1399591291483411	0.23417353756570708	115.66718196868896
32	4.044544220378913	ecoli_colombos	100.0	interconnected	ica_percentage	0.02	0.14052324296035767	0.061555454519087754	0.1486867818507864	0.2995081438442633	115.66718196868896
33	5.693267508317001	ecoli_colombos	100.0	strict	ica_percentage	0.01	0.20024100305486728	0.14774473030532853	0.28814140509181857	0.4003492824311478	116.00214910507202
34	4.166906342462161	ecoli_colombos	100.0	minimal	ica_percentage	0.01	0.055072020471320954	0.08889072988122249	0.16422744417042354	0.26684291479686456	116.00214910507202
