	F1norm_rprr	cutoff	datasetname	k	knownmodules	m	method	precision	recall	recovery	relevance	runningtime
0	0.0	0.001	ecoli_colombos	25.0	minimal	1.01	cmeans	0.0	0.0	0.0	0.0	262.8049120903015
1	0.0	0.001	ecoli_colombos	25.0	interconnected	1.01	cmeans	0.0	0.0	0.0	0.0	262.8049120903015
2	0.0	0.001	ecoli_colombos	25.0	strict	1.01	cmeans	0.0	0.0	0.0	0.0	262.8049120903015
3	3.220334679894121	0.001	ecoli_colombos	25.0	minimal	1.02	cmeans	0.06530222878300124	0.06357402308642399	0.19233189083178193	0.11726047839061482	281.27629113197327
4	3.4118017373347636	0.001	ecoli_colombos	25.0	interconnected	1.02	cmeans	0.090767765092623	0.05394370709979299	0.19667821731897855	0.1502636033242792	281.27629113197327
5	3.0777612030388473	0.001	ecoli_colombos	25.0	strict	1.02	cmeans	0.12001943661952531	0.06287670255575568	0.22455007370062077	0.15916130203791407	281.27629113197327
6	2.1619514763241825	0.001	ecoli_colombos	25.0	minimal	1.05	cmeans	0.0884374800435908	0.02357782576273515	0.1506125249243445	0.07855626757047561	274.3216190338135
7	2.149981475200207	0.001	ecoli_colombos	25.0	interconnected	1.05	cmeans	0.09485051239503278	0.020205619509759246	0.14017171972794754	0.0984194646797153	274.3216190338135
8	1.7038249107876153	0.001	ecoli_colombos	25.0	strict	1.05	cmeans	0.09807117065128348	0.020467992754529863	0.13619347341132737	0.09831946580458738	274.3216190338135
9	0.7626876852451923	0.001	ecoli_colombos	25.0	minimal	1.1	cmeans	0.07814125061901322	0.0033544941826708966	0.13209065326708055	0.040743660137408585	250.53160405158997
10	0.4688038355001109	0.001	ecoli_colombos	25.0	interconnected	1.1	cmeans	0.058421620778209095	0.0014208591908588851	0.08188294030742128	0.04579383347418337	250.53160405158997
11	0.28878415095128845	0.001	ecoli_colombos	25.0	strict	1.1	cmeans	0.0501497386797447	0.0011701550083243616	0.06725756232429506	0.04220894038275154	250.53160405158997
12	0.0	0.001	ecoli_colombos	75.0	minimal	1.01	cmeans	0.0	0.0	0.0	0.0	913.8196790218353
13	0.0	0.001	ecoli_colombos	75.0	interconnected	1.01	cmeans	0.0	0.0	0.0	0.0	913.8196790218353
14	0.0	0.001	ecoli_colombos	75.0	strict	1.01	cmeans	0.0	0.0	0.0	0.0	913.8196790218353
15	4.461646190389163	0.001	ecoli_colombos	75.0	minimal	1.02	cmeans	0.05601263876659515	0.1010268722361058	0.2032467922248462	0.23671214738084823	903.7972211837769
16	4.693507115095356	0.001	ecoli_colombos	75.0	interconnected	1.02	cmeans	0.09612964210060697	0.09999356586338956	0.20724781270334297	0.26183017362591726	903.7972211837769
17	5.441636586448374	0.001	ecoli_colombos	75.0	strict	1.02	cmeans	0.18582938476559369	0.15241839111450103	0.29712959756134044	0.3420222376199581	903.7972211837769
18	3.810998154587402	0.001	ecoli_colombos	75.0	minimal	1.05	cmeans	0.080698836269663	0.0633854187993764	0.17705062732476903	0.17618992516854273	932.7782289981842
19	3.5507708669591516	0.001	ecoli_colombos	75.0	interconnected	1.05	cmeans	0.11631283275247038	0.054367797728530655	0.1610737533902585	0.1917293643029876	932.7782289981842
20	4.071234548119979	0.001	ecoli_colombos	75.0	strict	1.05	cmeans	0.1886063368191583	0.09268839462704677	0.218252887352203	0.2625657573509853	932.7782289981842
21	1.763712727327869	0.001	ecoli_colombos	75.0	minimal	1.1	cmeans	0.10180993296568334	0.011084357433893108	0.1272190364596301	0.09112663909032316	875.3261559009552
22	1.4971625771214947	0.001	ecoli_colombos	75.0	interconnected	1.1	cmeans	0.10732163615258503	0.007829290535895598	0.0947009032072898	0.10971160080123604	875.3261559009552
23	1.4908954274990949	0.001	ecoli_colombos	75.0	strict	1.1	cmeans	0.12293721737753105	0.012348860321812176	0.10675540851544059	0.12525241277553084	875.3261559009552
24	0.0	0.001	ecoli_colombos	125.0	minimal	1.01	cmeans	0.0	0.0	0.0	0.0	1706.1841878890991
25	0.0	0.001	ecoli_colombos	125.0	interconnected	1.01	cmeans	0.0	0.0	0.0	0.0	1706.1841878890991
26	0.0	0.001	ecoli_colombos	125.0	strict	1.01	cmeans	0.0	0.0	0.0	0.0	1706.1841878890991
27	0.0	0.001	ecoli_colombos	125.0	minimal	1.02	cmeans	0.0	0.0	0.0	0.0	1765.7311580181122
28	0.0	0.001	ecoli_colombos	125.0	interconnected	1.02	cmeans	0.0	0.0	0.0	0.0	1765.7311580181122
29	0.0	0.001	ecoli_colombos	125.0	strict	1.02	cmeans	0.0	0.0	0.0	0.0	1765.7311580181122
30	4.573207928801737	0.001	ecoli_colombos	125.0	minimal	1.05	cmeans	0.08213489866789514	0.09725877984477962	0.17941953862515808	0.24932905727910584	1834.5225050449371
31	4.683436091430355	0.001	ecoli_colombos	125.0	interconnected	1.05	cmeans	0.13895274417281592	0.10427405436765023	0.17846269530633263	0.2913850586018416	1834.5225050449371
32	5.39569466899717	0.001	ecoli_colombos	125.0	strict	1.05	cmeans	0.25605834738592115	0.18030912549803013	0.24499162192254278	0.38760793005580185	1834.5225050449371
33	2.5551129248902638	0.001	ecoli_colombos	125.0	minimal	1.1	cmeans	0.10020403258635222	0.021184035699790726	0.13024275497420335	0.1422319782893052	1790.1407001018524
34	2.4233461804418197	0.001	ecoli_colombos	125.0	interconnected	1.1	cmeans	0.13642315374201852	0.01723055569026807	0.12186265932881096	0.16919594985995226	1790.1407001018524
