	F1norm_rprr	datasetname	k	knownmodules	method	precision	recall	recovery	relevance	runningtime
0	2.5680586615442307	ecoli_colombos	25.0	strict	divisive	0.08784458803079447	0.04392375005479035	0.2135518889094683	0.13233856641274827	42.66284704208374
1	2.854113065703699	ecoli_colombos	25.0	minimal	divisive	0.04450376898488131	0.05459876036298893	0.185637624979367	0.10780661673639755	42.66284704208374
2	3.1697955870624295	ecoli_colombos	25.0	interconnected	divisive	0.06813769381826258	0.04296348432318539	0.20579976957164742	0.13980912954340774	42.66284704208374
3	3.431799225666887	ecoli_colombos	50.0	strict	divisive	0.11077182835372017	0.06480706189829555	0.25937661092273795	0.18388529336377496	42.88838815689087
4	3.0594394178194086	ecoli_colombos	50.0	minimal	divisive	0.03546256872427303	0.06353801266121618	0.17607688178252512	0.13972338906436604	42.88838815689087
5	3.6262823051073414	ecoli_colombos	50.0	interconnected	divisive	0.06821994387058607	0.05936669299696979	0.20644056583167314	0.1716472295645291	42.88838815689087
6	4.3790039576236355	ecoli_colombos	75.0	strict	divisive	0.13953964839480962	0.10133162377966484	0.3034664559910579	0.23526621532281075	43.33871507644653
7	3.3512423402578775	ecoli_colombos	75.0	minimal	divisive	0.036343565813857594	0.07217082339250243	0.19128473372006738	0.1584645259985057	43.33871507644653
8	3.8244870979594783	ecoli_colombos	75.0	interconnected	divisive	0.06957751832063397	0.06814520369823047	0.2055365624423639	0.1874246989809145	43.33871507644653
9	4.687752186476188	ecoli_colombos	100.0	strict	divisive	0.14219664154282496	0.11188048531394808	0.3222297250250037	0.2539168735614364	43.197020053863525
10	3.4281978923284657	ecoli_colombos	100.0	minimal	divisive	0.03462980819968877	0.07648990601702135	0.19622954642207813	0.16757917280806256	43.197020053863525
11	3.920274349209867	ecoli_colombos	100.0	interconnected	divisive	0.06760346260929545	0.07198945061639699	0.21047631983347526	0.19359865954523542	43.197020053863525
12	4.9287412683393	ecoli_colombos	125.0	strict	divisive	0.15046383660401177	0.1229775871951758	0.3353539866236522	0.2655215191943765	42.82393002510071
13	3.518812449316747	ecoli_colombos	125.0	minimal	divisive	0.03344438002836393	0.07635958268195633	0.20144646193863858	0.18149829422320335	42.82393002510071
14	3.9332495854345106	ecoli_colombos	125.0	interconnected	divisive	0.06594775903098292	0.07475983391809848	0.2109925746687822	0.19420491644093338	42.82393002510071
15	5.300205230534654	ecoli_colombos	150.0	strict	divisive	0.16035738825663604	0.13760760300794328	0.3548719582319998	0.286809962298214	42.84150695800781
16	3.710513386943034	ecoli_colombos	150.0	minimal	divisive	0.035983751100279925	0.08041045592045072	0.21122941268200565	0.1894980826101949	42.84150695800781
17	4.269617024466953	ecoli_colombos	150.0	interconnected	divisive	0.07057316176930746	0.08152527513306934	0.22653195328195666	0.21364617395676724	42.84150695800781
18	5.57916319101563	ecoli_colombos	175.0	strict	divisive	0.16713116789833574	0.14800454927388615	0.3723652954080998	0.30169308514593907	43.11298394203186
19	3.7735100740451015	ecoli_colombos	175.0	minimal	divisive	0.036374160934763373	0.0824429777376975	0.21339265980605718	0.19423206413549837	43.11298394203186
20	4.391516104438606	ecoli_colombos	175.0	interconnected	divisive	0.0703273318219844	0.08593957544058156	0.23314541190599913	0.22036920039630947	43.11298394203186
21	5.661990643732195	ecoli_colombos	200.0	strict	divisive	0.1683863897704224	0.14951837417177039	0.38110872806726803	0.30492972101608884	42.90524506568909
22	3.8660822924560945	ecoli_colombos	200.0	minimal	divisive	0.03670312361775665	0.08562617496195503	0.22055129006911306	0.1988446666011897	42.90524506568909
23	4.431143171176482	ecoli_colombos	200.0	interconnected	divisive	0.07049514226531821	0.08716962512277263	0.2351935373563802	0.22257409832489164	42.90524506568909
24	5.694938795204835	ecoli_colombos	225.0	strict	divisive	0.1683889247810563	0.15249464636596213	0.3866384380087427	0.3039587620677841	42.935590982437134
25	3.888732282191227	ecoli_colombos	225.0	minimal	divisive	0.03656214555318875	0.08681067081717629	0.22538023125518603	0.19818861625971504	42.935590982437134
26	4.482123963932403	ecoli_colombos	225.0	interconnected	divisive	0.06873403092539175	0.08915536566094791	0.24760632964300067	0.21901778324002028	42.935590982437134
