	F1norm_rprr	datasetname	k	knownmodules	method	precision	qvalcutoff	recall	recovery	relevance	runningtime
0	3.2495842860776283	ecoli_colombos	50.0	strict	ica_fdr	0.13973808922183706	0.1	0.04209492966618084	0.219877146592804	0.21549266037165044	107.70414400100708
1	3.276548393089285	ecoli_colombos	50.0	minimal	ica_fdr	0.06165639701919442	0.1	0.046876061910729294	0.17159230342599194	0.15026344174980805	107.70414400100708
2	3.201811276884735	ecoli_colombos	50.0	interconnected	ica_fdr	0.08451402333319098	0.1	0.03443159293502577	0.16758702074691878	0.17888765504715604	107.70414400100708
3	4.468120030265788	ecoli_colombos	50.0	strict	ica_fdr	0.1435693000046487	0.01	0.08399656127660275	0.3083694417592036	0.25743161146283516	106.85775017738342
4	3.9224612128089724	ecoli_colombos	50.0	minimal	ica_fdr	0.053778791315703595	0.01	0.08027792835702008	0.20599488258349213	0.17795412904413804	106.85775017738342
5	4.124882905711936	ecoli_colombos	50.0	interconnected	ica_fdr	0.08025169125334622	0.01	0.06454616526088211	0.21582163845383262	0.21182937066010443	106.85775017738342
6	4.3113252586603155	ecoli_colombos	50.0	strict	ica_fdr	0.1197380407653928	0.001	0.08505058235663028	0.34049372054293936	0.22821092124776304	105.59805512428284
7	3.88388719115898	ecoli_colombos	50.0	minimal	ica_fdr	0.045072065203357374	0.001	0.08113036584350498	0.2344671265185793	0.17064127977960014	105.59805512428284
8	4.242546133960845	ecoli_colombos	50.0	interconnected	ica_fdr	0.06901811472784207	0.001	0.06918205260433699	0.24064503351713118	0.21009306156692775	105.59805512428284
9	4.071389608605356	ecoli_colombos	50.0	strict	ica_fdr	0.10241223390569595	0.0001	0.09114755734864878	0.34865532947819455	0.20198282376857846	106.05000901222229
10	3.846796547433532	ecoli_colombos	50.0	minimal	ica_fdr	0.035899179484881256	0.0001	0.08391263236578048	0.2598658382362729	0.17642625073471851	106.05000901222229
11	4.169506868841048	ecoli_colombos	50.0	interconnected	ica_fdr	0.057254897844642307	0.0001	0.07415907037741658	0.26861080931041836	0.192458296511928	106.05000901222229
12	3.726238748195625	ecoli_colombos	50.0	strict	ica_fdr	0.09070043233256224	1e-05	0.07941065927741228	0.3874018207034511	0.1711175393293067	106.79443311691284
13	3.0903120829946658	ecoli_colombos	50.0	minimal	ica_fdr	0.02694931370296996	1e-05	0.06972146527862265	0.26446348248571755	0.12845354176969745	106.79443311691284
14	3.830811070797074	ecoli_colombos	50.0	interconnected	ica_fdr	0.048461760496264106	1e-05	0.06731895702589169	0.28025592547448286	0.1679061374089441	106.79443311691284
15	3.916832721957994	ecoli_colombos	50.0	strict	ica_fdr	0.09420692198323895	1e-06	0.08685910997866783	0.471305879815954	0.1684726729042354	107.71907591819763
16	2.8725967696319796	ecoli_colombos	50.0	minimal	ica_fdr	0.026167350959995516	1e-06	0.06125548761780552	0.28333969607150433	0.11076528594761084	107.71907591819763
17	3.6401782627523387	ecoli_colombos	50.0	interconnected	ica_fdr	0.04673395650730355	1e-06	0.06853887883186872	0.3094449288149051	0.1443277837660059	107.71907591819763
